SKU,Current Stock,Risk Score,Risk Level,Inventory Status,Expected Risk Level,Risk Level Correct,Expected Inventory Status,Inventory Status Correct,Overall Correct
1010,196,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1068,196,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1108,202,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1140,223,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1096,157,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1085,193,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1176,226,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1059,82,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1001,88,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1057,388,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1178,384,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1064,246,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1181,290,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1079,365,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1135,242,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1166,273,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1141,270,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1163,183,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1045,127,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1078,180,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1005,217,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1063,182,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1080,338,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1095,167,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1008,149,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1053,215,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1069,430,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1152,129,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1031,297,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1149,163,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1184,335,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1106,225,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1026,136,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1157,167,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1168,306,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1047,121,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1076,250,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1116,154,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1003,116,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1122,198,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1180,303,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1177,161,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1061,295,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1159,181,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1120,365,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1190,182,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1127,414,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1075,188,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1030,194,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1192,120,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1040,132,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1104,432,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1054,318,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1162,229,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1132,270,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1088,241,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1083,221,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1167,159,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1130,306,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1134,210,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1158,349,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1051,95,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1055,272,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1062,231,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1107,180,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1070,178,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1195,328,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1121,295,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1077,178,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1014,222,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1072,154,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1091,325,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1036,167,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1113,270,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1138,251,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1087,247,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1050,172,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1169,260,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1012,274,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1112,95,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1019,110,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1133,79,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1194,113,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1074,230,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1154,255,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1090,200,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1046,143,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1153,204,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1020,142,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1011,269,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1156,220,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1006,243,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1199,142,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1160,256,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1147,236,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1174,91,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1151,209,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1126,387,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1196,208,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1071,345,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1150,109,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1105,361,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1035,145,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1188,298,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1129,92,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1186,320,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1175,198,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1004,222,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1022,267,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1027,344,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1032,154,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1144,125,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1102,358,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1117,202,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1161,86,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1123,133,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1082,185,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1058,288,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1136,124,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1009,205,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1193,285,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1098,134,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1187,158,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1052,209,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1002,249,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1103,143,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1148,161,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1173,130,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1179,175,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1028,133,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1014,300,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1185,231,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1069,285,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1039,373,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1064,232,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1057,151,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1187,276,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1173,206,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1115,114,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1148,262,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1112,243,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1170,123,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1002,295,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1037,140,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1007,155,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1096,156,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1099,205,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1155,122,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1028,126,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1026,121,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1118,298,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1151,164,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1178,190,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1126,248,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1179,221,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1032,138,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1083,122,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1056,299,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1004,264,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1079,172,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1107,186,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1111,333,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1102,255,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1001,196,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1191,180,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1082,120,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1135,229,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1143,307,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1196,215,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1085,264,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1117,149,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1088,171,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1167,151,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1029,379,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1176,184,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1024,155,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1125,153,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1018,105,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1124,185,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1021,275,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1046,178,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1098,112,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1140,290,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1005,222,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1065,82,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1003,186,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1030,186,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1033,115,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1047,101,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1138,178,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1164,122,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1127,182,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1180,284,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1114,160,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1136,111,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1019,199,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1142,126,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1055,247,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1149,82,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1076,300,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1100,136,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1043,156,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1044,270,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1154,251,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1163,214,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1182,359,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1054,146,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1042,310,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1035,96,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1040,96,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1188,364,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1150,196,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1152,217,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1038,170,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1066,119,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1156,278,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1110,417,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1049,180,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1027,182,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1186,189,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1051,167,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1109,114,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1050,236,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1139,239,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1062,152,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1128,407,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1053,345,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1104,166,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1091,263,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1072,125,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1172,97,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1009,174,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1058,105,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1034,105,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1153,177,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1016,280,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1092,200,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1121,165,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1068,72,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1013,390,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1119,308,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1189,180,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1022,181,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1023,252,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1174,165,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1031,359,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1008,118,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1015,215,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1200,193,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1048,261,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1084,230,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1041,306,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1116,215,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1089,88,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1086,432,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1193,280,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1129,178,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1108,282,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1137,240,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1090,115,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1017,109,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1075,215,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1113,312,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1078,91,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1157,269,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1020,278,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1168,135,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1097,201,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1106,348,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1165,198,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1077,162,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1162,219,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1123,219,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1080,316,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1175,195,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1147,324,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1071,324,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1144,235,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1052,205,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1130,331,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1181,128,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1122,318,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1134,135,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1136,123,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1126,312,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1045,198,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1022,185,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1129,148,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1165,203,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1040,208,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1043,169,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1060,252,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1164,206,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1190,261,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1001,111,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1005,103,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1112,224,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1021,307,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1020,291,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1114,84,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1101,198,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1166,363,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1178,340,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1065,149,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1128,390,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1057,261,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1053,152,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1132,271,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1186,270,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1061,157,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1146,250,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1064,225,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1004,371,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1015,123,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1033,173,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1117,135,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1041,240,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1191,123,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1050,133,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1052,132,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1081,252,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1009,131,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1179,181,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1125,261,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1076,188,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1173,162,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1085,236,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1063,233,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1071,377,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1077,170,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1038,188,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1090,213,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1093,242,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1075,269,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1155,197,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1026,240,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1062,170,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1118,306,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1177,335,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1106,246,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1159,165,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1105,250,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1200,242,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1100,174,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1139,150,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1131,186,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1174,95,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1147,258,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1046,125,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1070,310,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1187,131,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1099,209,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1113,272,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1108,231,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1137,188,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1084,218,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1157,93,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1180,156,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1034,131,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
1192,187,70.0,HIGH,Healthy,HIGH,True,Healthy,True,True
